ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.8919911,18.134581,0.0298,0.0266,-0.007,7.733,0.018,61.4,14.01,5.455,0.014,75.8,66.79,1,0,0,AA,10,56904.22058726,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.393575,184.437009
67.8920465,18.1347231,0.024,0.0298,-0.0157,7.626,0.017,64.6,84.7,4.724,0.015,74.4,77.92,1,0,0,AA,10,56904.22071463,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.198764,53.165517
67.8921063,18.1346521,0.0212,0.0179,-0.0042,7.744,0.014,76.6,19.27,4.471,0.012,88.6,122,1,0,0,AA,10,56904.28642101,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.388429,110.564764
67.8921508,18.1347074,0.0217,0.019,-0.0094,7.641,0.015,71.3,64.06,4.609,0.01,105.7,171.4,1,0,0,AA,10,56904.41796123,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.5197,83.077257
67.8920788,18.134713,0.0288,0.0236,-0.0078,7.737,0.014,75.1,15.95,4.608,0.018,58.7,44.63,1,0,0,AA,10,56904.54949904,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.282017,72.926468
67.8922426,18.1346144,0.0168,0.0152,-0.0028,7.65,0.017,65.7,18.82,4.829,0.009,125.3,84.06,1,0,0,AA,10,57071.73757795,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.873461,108.154913
67.8921118,18.1344055,0.0218,0.021,-0.0062,7.687,0.013,86.6,96.29,5.134,0.015,73.3,24.62,1,0,0,AA,10,57071.86886358,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.093289,159.521806
67.8921878,18.1345659,0.0239,0.0209,-0.0062,7.721,0.015,74.1,34.46,5.015,0.013,85.4,74.55,1,0,0,AA,10,57072.00027652,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.782558,124.812748
67.892227,18.134582,0.0253,0.0255,0.0058,7.76,0.016,66.2,19.73,4.636,0.015,71,49.93,1,0,0,AA,10,57072.06598299,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.868499,116.594288
67.8921967,18.1345227,0.0236,0.0244,0.0038,7.751,0.014,79.6,22.95,5.066,0.016,67.8,18.65,1,0,0,AA,10,57072.1315621,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.903106,131.828188
67.8921867,18.1344519,0.0258,0.0262,-0.0028,7.668,0.014,79,48.64,5.126,0.019,57.6,11.19,1,0,0,AA,10,57072.13168946,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.068976,143.307399
67.8920832,18.1345432,0.0268,0.0229,0.0006,7.761,0.014,75.1,15.72,5.051,0.019,58.3,11.99,1,0,0,AA,10,57072.19726856,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.600263,151.69284
